CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,18,15,1
2,Female,19,16,2
3,Male,20,17,3
4,Female,21,18,4
5,Male,22,19,5
6,Female,23,20,6
7,Male,24,21,7
8,Female,25,22,8
9,Male,26,23,9
10,Female,27,24,10
11,Male,28,25,11
12,Female,29,26,12
13,Male,30,27,13
14,Female,31,28,14
15,Male,32,29,15
16,Female,33,30,16
17,Male,34,31,17
18,Female,35,32,18
19,Male,36,33,19
20,Female,37,34,20
21,Male,38,35,21
22,Female,39,36,22
23,Male,40,37,23
24,Female,41,38,24
25,Male,42,39,25
26,Female,43,40,26
27,Male,44,41,27
28,Female,45,42,28
29,Male,46,43,29
30,Female,47,44,30
31,Male,48,45,31
32,Female,49,46,32
33,Male,50,47,33
34,Female,51,48,34
35,Male,52,49,35
36,Female,53,50,36
37,Male,54,51,37
38,Female,55,52,38
39,Male,56,53,39
40,Female,57,54,40
41,Male,58,55,41
42,Female,59,56,42
43,Male,60,57,43
44,Female,61,58,44
45,Male,62,59,45
46,Female,63,60,46
47,Male,64,61,47
48,Female,65,62,48
49,Male,66,63,49
50,Female,67,64,50
51,Male,18,65,51
52,Female,19,66,52
53,Male,20,67,53
54,Female,21,68,54
55,Male,22,69,55
56,Female,23,70,56
57,Male,24,71,57
58,Female,25,72,58
59,Male,26,73,59
60,Female,27,74,60
61,Male,28,75,61
62,Female,29,76,62
63,Male,30,77,63
64,Female,31,78,64
65,Male,32,79,65
66,Female,33,80,66
67,Male,34,81,67
68,Female,35,82,68
69,Male,36,83,69
70,Female,37,84,70
71,Male,38,15,71
72,Female,39,16,72
73,Male,40,17,73
74,Female,41,18,74
75,Male,42,19,75
76,Female,43,20,76
77,Male,44,21,77
78,Female,45,22,78
79,Male,46,23,79
80,Female,47,24,80
81,Male,48,25,81
82,Female,49,26,82
83,Male,50,27,83
84,Female,51,28,84
85,Male,52,29,85
86,Female,53,30,86
87,Male,54,31,87
88,Female,55,32,88
89,Male,56,33,89
90,Female,57,34,90
91,Male,58,35,91
92,Female,59,36,92
93,Male,60,37,93
94,Female,61,38,94
95,Male,62,39,95
96,Female,63,40,96
97,Male,64,41,97
98,Female,65,42,98
99,Male,66,43,99
100,Female,67,44,100
101,Male,18,45,1
102,Female,19,46,2
103,Male,20,47,3
104,Female,21,48,4
105,Male,22,49,5
106,Female,23,50,6
107,Male,24,51,7
108,Female,25,52,8
109,Male,26,53,9
110,Female,27,54,10
111,Male,28,55,11
112,Female,29,56,12
113,Male,30,57,13
114,Female,31,58,14
115,Male,32,59,15
116,Female,33,60,16
117,Male,34,61,17
118,Female,35,62,18
119,Male,36,63,19
120,Female,37,64,20
121,Male,38,65,21
122,Female,39,66,22
123,Male,40,67,23
124,Female,41,68,24
125,Male,42,69,25
126,Female,43,70,26
127,Male,44,71,27
128,Female,45,72,28
129,Male,46,73,29
130,Female,47,74,30
131,Male,48,75,31
132,Female,49,76,32
133,Male,50,77,33
134,Female,51,78,34
135,Male,52,79,35
136,Female,53,80,36
137,Male,54,81,37
138,Female,55,82,38
139,Male,56,83,39
140,Female,57,84,40
141,Male,58,15,41
142,Female,59,16,42
143,Male,60,17,43
144,Female,61,18,44
145,Male,62,19,45
146,Female,63,20,46
147,Male,64,21,47
148,Female,65,22,48
149,Male,66,23,49
150,Female,67,24,50
151,Male,18,25,51
152,Female,19,26,52
153,Male,20,27,53
154,Female,21,28,54
155,Male,22,29,55
156,Female,23,30,56
157,Male,24,31,57
158,Female,25,32,58
159,Male,26,33,59
160,Female,27,34,60
161,Male,28,35,61
162,Female,29,36,62
163,Male,30,37,63
164,Female,31,38,64
165,Male,32,39,65
166,Female,33,40,66
167,Male,34,41,67
168,Female,35,42,68
169,Male,36,43,69
170,Female,37,44,70
171,Male,38,45,71
172,Female,39,46,72
173,Male,40,47,73
174,Female,41,48,74
175,Male,42,49,75
176,Female,43,50,76
177,Male,44,51,77
178,Female,45,52,78
179,Male,46,53,79
180,Female,47,54,80
181,Male,48,55,81
182,Female,49,56,82
183,Male,50,57,83
184,Female,51,58,84
185,Male,52,59,85
186,Female,53,60,86
187,Male,54,61,87
188,Female,55,62,88
189,Male,56,63,89
190,Female,57,64,90
191,Male,58,65,91
192,Female,59,66,92
193,Male,60,67,93
194,Female,61,68,94
195,Male,62,69,95
196,Female,63,70,96
197,Male,64,71,97
198,Female,65,72,98
199,Male,66,73,99
200,Female,67,74,100
